System;Station;Commodity;Sell;Buy;Demand;;Supply;;Date;
LP 926-40;Lee City;Explosives;189;205;;;40820;Med;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Hydrogen Fuel;101;106;;;449212;Med;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Mineral Oil;218;;326922;Med;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Clothing;208;225;;;166312;Med;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Consumer Technology;7423;;25996;High;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Domestic Appliances;422;446;;;12057;Med;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Algae;243;;1118149;Med;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Animal Meat;1288;;1853;Low;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Coffee;1288;;463;Low;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Fish;540;;127393;Med;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Food Cartridges;34;45;;;353577;High;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Fruit And Vegetables;316;;1671;Low;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Grain;208;;11156;Low;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Synthetic Meat;356;;25705;Med;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Tea;1461;;1681;Low;;;2015-02-01T22:10:23+00:00;
;Lee City;Polymers;236;;1597915;Med;;;2015-02-01T22:10:40+00:00;
;Lee City;Semiconductors;1138;;2729;Med;;;2015-02-01T22:10:40+00:00;
;Lee City;Superconductors;7144;;229314;Med;;;2015-02-01T22:10:40+00:00;
;Lee City;Liquor;781;;1222;Med;;;2015-02-01T22:10:40+00:00;
;Lee City;Tobacco;4951;;9211;Med;;;2015-02-01T22:10:40+00:00;
;Lee City;Wine;253;;8634;Low;;;2015-02-01T22:10:40+00:00;
;Lee City;Atmospheric Processors;255;269;;;324336;High;2015-02-01T22:10:40+00:00;
;Lee City;Crop Harvesters;1916;1958;;;865645;Med;2015-02-01T22:10:40+00:00;
;Lee City;Marine Equipment;3673;3751;;;806482;High;2015-02-01T22:10:40+00:00;
;Lee City;Microbial Furnaces;200;;25374;Low;;;2015-02-01T22:10:40+00:00;
;Lee City;Mineral Extractors;407;429;;;863011;High;2015-02-01T22:10:40+00:00;
;Lee City;Power Generators;354;373;;;2363156;High;2015-02-01T22:10:40+00:00;
;Lee City;Water Purifiers;197;214;;;53474;Med;2015-02-01T22:10:40+00:00;
;Lee City;Basic Medicines;180;195;;;208278;High;2015-02-01T22:10:54+00:00;
;Lee City;Performance Enhancers;7423;;36105;High;;;2015-02-01T22:10:54+00:00;
;Lee City;Progenitor Cells;7332;;13339;Med;;;2015-02-01T22:10:54+00:00;
;Lee City;Aluminium;456;;2811359;Med;;;2015-02-01T22:10:54+00:00;
;Lee City;Beryllium;8902;;104867;Med;;;2015-02-01T22:10:54+00:00;
;Lee City;Copper;497;;483406;Low;;;2015-02-01T22:10:54+00:00;
;Lee City;Gallium;5743;;917431;Med;;;2015-02-01T22:10:54+00:00;
;Lee City;Gold;10189;;383882;Med;;;2015-02-01T22:10:54+00:00;
;Lee City;Indium;6414;;789377;Med;;;2015-02-01T22:10:54+00:00;
;Lee City;Lithium;1842;;279926;Med;;;2015-02-01T22:10:54+00:00;
;Lee City;Palladium;14104;;44355;Med;;;2015-02-01T22:10:54+00:00;
;Lee City;Platinum;19553;;22439;High;;;2015-02-01T22:10:54+00:00;
;Lee City;Silver;5388;;644400;Med;;;2015-02-01T22:10:54+00:00;
;Lee City;Tantalum;4385;;1077283;Med;;;2015-02-01T22:10:54+00:00;
;Lee City;Titanium;1174;;1284168;Med;;;2015-02-01T22:10:54+00:00;
;Lee City;Iiqaniii Inä;9;;170;Med;;;2015-02-01T22:10:54+00:00;
;Lee City;Uranium;;7;1539672;Med;;;2015-02-01T22:11:08+00:00;
;Lee City;Bauxite;264;;329846;Med;;;2015-02-01T22:11:08+00:00;
;Lee City;Bertrandite;2764;;104928;Med;;;2015-02-01T22:11:08+00:00;
;Lee City;Coltan;1683;;205091;Med;;;2015-02-01T22:11:08+00:00;
;Lee City;Gallite;2106;;112499;Med;;;2015-02-01T22:11:08+00:00;
;Lee City;Indite;2552;;143205;Med;;;2015-02-01T22:11:08+00:00;
;Lee City;Lepidolite;723;;49466;Med;;;2015-02-01T22:11:08+00:00;
;Lee City;Uraninite;1131;;293699;Med;;;2015-02-01T22:11:08+00:00;
;Lee City;Advanced Catalysers;3285;;121111;Med;;;2015-02-01T22:11:08+00:00;
;Lee City;Auto-Fabricators;3616;;2872;Low;;;2015-02-01T22:11:08+00:00;
;Lee City;Computer Components;386;408;;;93801;Med;2015-02-01T22:11:08+00:00;
;Lee City;H.E. Suits;411;;857275;High;;;2015-02-01T22:11:08+00:00;
;Lee City;Resonating Separators;5750;;2460;Low;;;2015-02-01T22:11:08+00:00;
;Lee City;Robotics;2138;;205863;Med;;;2015-02-01T22:11:08+00:00;
;Lee City;Leather;264;;2330866;Med;;;2015-02-01T22:11:20+00:00;
;Lee City;Natural Fabrics;560;;4884064;Med;;;2015-02-01T22:11:20+00:00;
;Lee City;Synthetic Fabrics;278;;1160723;Med;;;2015-02-01T22:11:20+00:00;
;Lee City;Biowaste;13;17;;;20425;Med;2015-02-01T22:11:20+00:00;
;Lee City;Scrap;26;31;;;346588;High;2015-02-01T22:11:20+00:00;
;Lee City;Non-Lethal Weapons;1768;;29;Low;;;2015-02-01T22:11:20+00:00;
;Lee City;Reactive Armour;2238;;1482;Med;;;2015-02-01T22:11:20+00:00;
